domain	role	semantic_field	authoritative_owner	resolver	carrier	consumer	terminal_effect	status	blocker	failure_mode	fallback	release_base_evidence	final_revalidation_evidence	notes
RHYTHM_COMPATIBILITY	DRUMS	rhythm_archetype_and_weight	rhythmCompatibilityFor	resolveRhythmSelection; resolveGenerationComposition	GenerationCompositionResult.rhythmArchetypeId; RhythmRealizationRequest	ReferenceVocabulary::definitionForId; realizeRhythmPhrase; materializeRhythmPattern	drum onset/accent/continuation grammar	CONNECTED	NONE	migration may fail after selection	upstream Atlas/legacy drums survive when caller masks failure	src/generation/composition/rhythm_selection.cpp::rhythmCompatibilityFor; src/generation/migration/strong_rhythm_migration.cpp::migrateStrongRhythmDrums	UNCHANGED_FROM_C1R	All 33 C1F rows resolve a non-Legacy strong route; weights select identity before realization.
RHYTHM_COMPATIBILITY	BASS	rhythm_family_archetype_and_protected_space	ReferenceVocabulary rhythm archetype	ReferenceVocabulary::definitionForId; ReferenceVocabulary::archetypeFor	BassRhythmRequest.family; archetypeId; protectedSpace; kickOnsets	realizeBassRhythm	bass onset and continuation topology	CONNECTED	NONE	role realization may reject request	transaction preserves upstream synth on failure	src/generation/migration/strong_rhythm_migration.cpp::migrateStrongRhythmMaterial; src/generation/roles/bass_rhythm.cpp::realizeBassRhythm	NONE	Archetype semantics reach the bass request independently of drum materialization.
RHYTHM_COMPATIBILITY	CHORD	rhythm_family_archetype_and_protected_space	ReferenceVocabulary rhythm archetype	ReferenceVocabulary::definitionForId; ReferenceVocabulary::archetypeFor	ChordRhythmRequest.family; archetypeId; protectedSpace	realizeChordRhythm	chord onset and continuation topology	CONNECTED	NONE	role realization may reject request	transaction preserves upstream synth on failure	src/generation/migration/strong_rhythm_migration.cpp::migrateStrongRhythmMaterial; src/generation/roles/chord_rhythm.cpp::realizeChordRhythm	NONE	Bass onsets are an additional relationship input.
RHYTHM_COMPATIBILITY	MELODIC_SECONDARY	rhythm_family_archetype_and_protected_space	ReferenceVocabulary rhythm archetype	ReferenceVocabulary::definitionForId; ReferenceVocabulary::archetypeFor	MelodicMotifRequest.family; archetypeId; protectedSpace	realizeMelodicMotif	melodic onset/continuation topology	CONNECTED	NONE	role realization may reject request	transaction preserves upstream synth on failure	src/generation/migration/strong_rhythm_migration.cpp::migrateStrongRhythmMaterial; src/generation/roles/melodic_motif.cpp::realizeMelodicMotif	NONE	Chord and bass onsets are additional relationship inputs.
FEEL	ALL	profile_suggested_feel	ProfileDefinition.feels	resolveGenerationComposition	GenerationCompositionResult.suggestedFeel; StrongRhythmMigrationResult.suggestedFeel	NONE	NONE	DROPPED	UNKNOWN	selected identity is copied only to result diagnostics	Scene FEEL remains authoritative at materialization	src/generation/composition/generation_profile.cpp::resolveGenerationComposition; src/generation/migration/strong_rhythm_migration.cpp::migrateStrongRhythmDrums	v0.9.9 phrase and one-bar contexts still source feelProfile from Scene FEEL	Profile FEEL support and weights remain declarative but do not drive context.feelProfile.
FEEL	DRUMS	scene_timing_profile_and_amount	Scene.feel.timingProfile; Scene.generatorParams.microTimingAmount	QuantizedGenerationDetail::migrationContextFor	StrongRhythmMigrationContext.feelProfile; feelAmount	applyFeelToMaterializedPattern	drum timing/velocity interpretation	CONNECTED	NONE	feel adapter can fail	transaction preserves upstream drums on failure	src/generation/migration/quantized_generation_commit_impl.h::migrationContextFor; src/generation/feel/feel_pattern_adapter.cpp::applyFeelToMaterializedPattern	NONE	This is an independent runtime owner, not the profile suggestedFeel bag.
FEEL	BASS	scene_timing_profile_and_amount	Scene.feel.timingProfile; Scene.generatorParams.microTimingAmount	QuantizedGenerationDetail::migrationContextFor	StrongRhythmMigrationContext.feelProfile; feelAmount	applyFeelToSemanticPattern	bass timing/velocity interpretation	CONNECTED	NONE	feel interpreter can fail	transaction preserves upstream synth on failure	src/generation/migration/strong_rhythm_migration.cpp::migrateStrongRhythmMaterial; src/generation/feel/feel_interpreter.cpp::applyFeelToSemanticPattern	NONE	Role-specific consumer exists.
FEEL	CHORD	scene_timing_profile_and_amount	Scene.feel.timingProfile; Scene.generatorParams.microTimingAmount	QuantizedGenerationDetail::migrationContextFor	StrongRhythmMigrationContext.feelProfile; feelAmount	applyFeelToSemanticPattern	chord timing/velocity interpretation	CONNECTED	NONE	feel interpreter can fail	transaction preserves upstream synth on failure	src/generation/migration/strong_rhythm_migration.cpp::migrateStrongRhythmMaterial; src/generation/feel/feel_interpreter.cpp::applyFeelToSemanticPattern	NONE	Role-specific consumer exists when Synth B includes chord material.
FEEL	MELODIC_SECONDARY	scene_timing_profile_and_amount	Scene.feel.timingProfile; Scene.generatorParams.microTimingAmount	QuantizedGenerationDetail::migrationContextFor	StrongRhythmMigrationContext.feelProfile; feelAmount	applyFeelToSemanticPattern	melodic timing/velocity interpretation	CONNECTED	NONE	feel interpreter can fail	transaction preserves upstream synth on failure	src/generation/migration/strong_rhythm_migration.cpp::migrateStrongRhythmMaterial; src/generation/feel/feel_interpreter.cpp::applyFeelToSemanticPattern	NONE	Role-specific consumer exists when Synth B includes melodic material.
COMPOSITION	BASS	bass_rhythm_bag	ProfileDefinition.bass	resolveGenerationComposition	GenerationCompositionResult.bassRhythm; StrongRhythmMigrationResult.bassRhythmId; BassRhythmRequest.requestedId	realizeBassRhythm	bass onset and continuation topology	CONNECTED	NONE	invalid request or empty result	transaction preserves upstream synth on failure	src/generation/composition/generation_profile.cpp::resolveGenerationComposition; src/generation/migration/strong_rhythm_migration.cpp::migrateStrongRhythmMaterial; src/generation/roles/bass_rhythm.cpp::realizeBassRhythm	NONE	C1 support/weights remain the declared-distance evidence.
