candidate_id,domain,primary_evidence_class,supporting_evidence,distinctness,confidence,runtime_owner,decision,reason
classic_2step_baseline,Rhythm,PROJECT_OWNED_EXACT,current_stage3_417,already_current_417,high,RhythmArchetype,ACCEPT_BASELINE,Exact UKG slice validates current classic_2step grammar and must not create a duplicate archetype
dark_skippy_baseline,Rhythm,PROJECT_OWNED_EXACT,current_stage3_418,overlaps_current_418_distance_pending,medium,RhythmArchetype,ACCEPT_BASELINE,Exact slice validates the existing skippy family; normalized distance is still useful for calibration but cannot create a duplicate archetype
chicago_acid_frame,Rhythm,PROJECT_OWNED_EXACT,current_stage3_acid_fourfloor,already_acid_fourfloor_coverage,high,RhythmArchetype,ACCEPT_BASELINE,Four-floor Acid frame is already represented and novelty belongs more strongly to bass behavior
rolling_acid_rhythm_baseline,Rhythm,PROJECT_OWNED_EXACT,current_stage3_rolling_acid,broad_drum_frame_already_covered,high,RhythmArchetype,ACCEPT_BASELINE,Rolling Acid keeps the broad four-floor drum frame and must not create another recipe-named rhythm archetype
rolling_acid_dense_onset_plan,BassRhythm,PROJECT_OWNED_EXACT,current_stage3_acid_relationship_baseline,bass_onset_density_behavior_requires_normalized_comparison,medium_high,BassRelationshipStrategy,REVIEW,Extract denser independent Bass onset behavior separately from rhythm topology and pitch contour
lofi_sparse_stable_backbeat,Rhythm,PROJECT_OWNED_EXACT,EDITORIAL_CURATED,distance_to_current20_unknown,medium,RhythmArchetype,REVIEW,Published slices suggest a coherent family but structural novelty has not been measured
boombap_syncopated_kick_backbeat,Rhythm,PROJECT_OWNED_EXACT,EDITORIAL_CURATED,distance_to_current20_unknown,medium_high,RhythmArchetype,REVIEW,Strong-backbeat and syncopated-kick evidence is promising but requires normalized comparison
jungle_sampler_break_topology,Rhythm,PROJECT_OWNED_EXACT,sampler_dependency,potentially_distinct_sampler_dependent,medium,RhythmArchetype,HOLD,Sampler layer carries substantial break identity; reconsider only after sampler-independent normalization
development_preserve_add,PhraseTransform,MEASURED,12_published_recipe_aggregate,functionally_distinct,high,BarEvolution,ACCEPT_TRANSFORM,P1 to P2 across 12 published recipes mostly preserves and adds activity
break_ending_remove_cue,PhraseTransform,MEASURED,12_published_recipe_aggregate,functionally_distinct,high,BarEvolution,ACCEPT_TRANSFORM,P1 to P3 across 12 published recipes mostly removes activity with small ending cues
base_base_development_ending,PhraseTrajectory,EDITORIAL_CURATED,measured_transform_basis_not_direct_4bar_measurement,fourbar_distance_pending,medium,BarTrajectory,REVIEW,Transform evidence is strong but the four-bar ordering itself is a derived recommendation not a measured universal law
ukg_respond_kick,BassRhythm,PROJECT_OWNED_EXACT,EDITORIAL_CURATED,plausibly_distinct_from_follow,medium_high,BassRelationshipStrategy,REVIEW,Repeated UKG bass topology answers different kick densities but full relation histogram is missing
ukg_fill_kick_gaps,BassRhythm,PROJECT_OWNED_EXACT,CURRENT_STAGE3_BASELINE,already_partly_represented,high,BassRelationshipStrategy,ACCEPT_BASELINE,Current Stage3 already carries FillGaps behavior and exact slices support it
acid_coincide_offset,BassRhythm,PROJECT_OWNED_EXACT,current_stage3_acid_relationship_baseline,distinct_from_pure_follow,high,BassRelationshipStrategy,ACCEPT_BASELINE,Stable kick anchors coexist with denser independent bass movement
acid_contour,BassPitch,PROJECT_OWNED_EXACT,EDITORIAL_CURATED,normalized_dedupe_pending,medium_high,BassPitchStrategy,REVIEW,Exact monophonic lines and slide/accent behavior support the candidate but contour support must be normalized
acid_octave_motion,BassPitch,PROJECT_OWNED_EXACT,EDITORIAL_CURATED,normalized_dedupe_pending,medium,BassPitchStrategy,REVIEW,Rolling Acid explicitly emphasizes octave movement but corpus-wide support is not measured
pedal_gravity,BassPitch,PROJECT_OWNED_EXACT,none,support_count_not_aggregated,medium,BassPitchStrategy,REVIEW,Repeated-note/root gravity appears in multiple vertical slices but needs transposition-normalized counting
chord_tone_gravity,BassPitch,PROJECT_OWNED_EXACT,EDITORIAL_CURATED,support_count_not_aggregated,medium,BassPitchStrategy,REVIEW,Useful hypothesis supported by exact/harmonic slices but not yet quantitatively extracted
stepwise_motion,BassPitch,INSUFFICIENT,none,unknown,low,BassPitchStrategy,HOLD,Pass1 lacks sufficient measured contour evidence
short_motif_reuse,Motif,PROJECT_OWNED_EXACT,EDITORIAL_CURATED,not_normalized,medium,MotifVocabulary,REVIEW,Sparse published melody rows suggest reuse but motif identity has not been normalized
exact_repeat_motif,Motif,INSUFFICIENT,none,unknown,low_medium,MotifVocabulary,HOLD,No corpus-level normalized occurrence count yet
repeat_with_ending_motif,Motif,INSUFFICIENT,indirect_phrase_function_evidence,unknown,low,MotifVocabulary,HOLD,Phrase ending evidence does not prove a melodic RepeatWithEnding operation
arch_rise_fall_contours,Motif,EDITORIAL_CURATED,none,unknown,low,MotifVocabulary,HOLD,Melodic evidence is sparse/editorial and must not be promoted to runtime grammar yet
